Country/Region,ConfirmedCases,Fatalities,2018_population,2018_pop_growth,2018_pop_density,2018_gdp_per_capita,2018_gdp_growth
Morocco,96.0,3.0,36029138.0,1.250794964,80.72851893,3237.883368,1.6486305140000002
Namibia,3.0,0.0,2448255.0,1.882279294,2.973745582,5931.453886,-2.4008197719999997
Nepal,1.0,0.0,28087871.0,1.653980239,195.9391071,1033.912431,4.9079469410000005
New Zealand,52.0,0.0,4885500.0,1.892735802,18.55417569,41945.33167,0.846632297
Nigeria,22.0,0.0,195874740.0,2.586545852,215.06498900000003,2028.1819699999999,-0.66557908
North Macedonia,85.0,0.0,2082958.0,0.046194989,82.59151467,6083.718948,2.617176945
Norway,2118.0,7.0,5314336.0,0.705638419,14.55491954,81697.24597999999,0.577326046
Oman,52.0,0.0,4829483.0,3.445117966,15.6041454,16415.15728,-1.682101824
Pakistan,730.0,3.0,212215030.0,2.05587987,275.28931869999997,1482.403063,3.67671211
Panama,200.0,1.0,4176873.0,1.69258055,56.18607748,15575.07255,1.9369640730000002
Paraguay,18.0,1.0,6956071.0,1.287844517,17.50835892,5821.814323,2.349990344
Peru,318.0,5.0,31989256.0,1.718246517,24.99160625,6941.235848,2.205617031
Philippines,307.0,19.0,106651922.0,1.39613428,357.6883053,3102.713363,4.770738946
Poland,536.0,5.0,37978548.0,0.00980075,124.0358862,15420.91116,5.137713695
Portugal,1280.0,12.0,10281762.0,-0.180137491,112.2394535,23407.906590000002,2.625968365
Puerto Rico,0.0,0.0,3195153.0,-3.983500085,360.22018039999995,31651.34815,-1.0410806190000002
Qatar,481.0,0.0,2781677.0,2.068684466,239.5931955,68793.78444,-0.584669133
Republic of the Congo,0.0,0.0,,,,,
Reunion,0.0,0.0,,,,,
Romania,367.0,0.0,19473936.0,-0.581419209,84.63984701,12301.1864,4.559978445
Russia,306.0,1.0,,,,,
Rwanda,17.0,0.0,12301939.0,2.644008891,498.65987029999997,772.9444599,5.772764955
Saint Lucia,2.0,0.0,,,,,
Saint Vincent and the Grenadines,1.0,0.0,,,,,
San Marino,144.0,20.0,33785.0,0.337998424,563.0833332999999,,
Saudi Arabia,392.0,0.0,33699947.0,1.7988753,15.67665431,23338.96346,0.607923521
Senegal,47.0,0.0,15854360.0,2.78193167,82.34747832,1521.953554,3.837062008
Serbia,171.0,1.0,6982084.0,-0.553799324,79.83174022,7246.731656,4.971964525
Seychelles,7.0,0.0,96762.0,0.954291918,210.3521739,16433.93529,2.6431477
Singapore,432.0,2.0,5638676.0,0.469704299,7952.998418000001,64581.94402,2.656150008
Slovakia,178.0,1.0,,,,,
Slovenia,383.0,1.0,2067372.0,0.04760799,102.6398595,26123.973869999998,4.068661066000001
Somalia,1.0,0.0,15008154.0,2.831767652,23.923476899999997,314.54416569999995,
South Africa,240.0,0.0,57779622.0,1.357697288,47.63011978,6374.028196,-0.572080197
Spain,25374.0,1375.0,46723749.0,0.279719893,93.52905826,30370.892330000002,2.065112042
Sri Lanka,77.0,0.0,21670000.0,1.048392958,345.558922,4102.48135,2.132746096
Sudan,2.0,1.0,41801533.0,2.392265265,,977.2736357000001,-4.629843228
Suriname,4.0,0.0,575991.0,0.958587769,3.69225,6234.044922,0.9278658870000001
Sweden,1763.0,20.0,10183175.0,1.23985371,25.00104343,54608.36025,0.9656200490000001
Switzerland,6575.0,75.0,8516543.0,0.762633818,215.5213784,82796.54716,1.969887247
Taiwan*,153.0,2.0,,,,,
Tanzania,6.0,0.0,56318348.0,2.981674115,63.57907879999999,1050.675254,2.11505516
Thailand,411.0,1.0,69428524.0,0.315448259,135.89720680000002,7273.563206999999,3.80126981
The Bahamas,0.0,0.0,,,,,
The Gambia,0.0,0.0,,,,,
Togo,16.0,0.0,7889094.0,2.445904207,145.0467733,679.2570836,2.375272507
Trinidad and Tobago,49.0,0.0,1389858.0,0.417170469,270.92748539999997,17129.913090000002,-0.66049439
Tunisia,60.0,1.0,11565204.0,1.145827766,74.44132338,3447.5079100000003,1.315252125
Turkey,670.0,9.0,82319724.0,1.490444868,106.96012890000002,9370.176344,1.305564285
Ukraine,47.0,3.0,44622516.0,-0.466430103,77.02966735,3095.173581,3.862732572
United Arab Emirates,153.0,2.0,9630959.0,1.50389676,135.6091101,43004.95336,0.207936371
Uruguay,110.0,0.0,3449299.0,0.367502623,19.70802765,17277.97011,1.247312548
Uzbekistan,43.0,0.0,32955400.0,1.734862316,77.46920545,1532.3716769999999,3.314122563
Venezuela,70.0,0.0,,,,,
Vietnam,94.0,0.0,95540395.0,0.992716375,308.1252459,2566.59695,6.018088398
Zambia,2.0,0.0,17351822.0,2.912801004,23.3414789,1539.900158,0.815169499
Denmark,1326.0,13.0,5797446.0,0.561579124,138.0673017,61350.347910000004,1.817932898
France,14282.0,562.0,66987244.0,0.182439829,122.33839569999999,41463.64402,1.539463118
Netherlands,3631.0,136.0,17231017.0,0.580410754,511.45791039999995,53024.05921,2.00369176
United Kingdom,5018.0,233.0,66488991.0,0.649023745,274.82739219999996,42943.90227,0.7297872059999999
Australia,1071.0,7.0,24992369.0,1.574848844,3.249129487,57373.68667999999,1.331877548
Canada,1277.0,19.0,37058856.0,1.409246617,4.075308214,46232.98962,0.47106597100000003
China,81305.0,3259.0,1392730000.0,0.455899679,148.34883330000002,9770.847087999999,6.082241155
Cruise Ship,712.0,8.0,,,,,
US,25489.0,307.0,,,,,
