Country/Region,ConfirmedCases,Fatalities,flu_vaccine,flu_vaccine_growth,medical_graduates,medical_graduates_growth,nursing_graduates,nursing_graduates_growth,health_spending,health_spending_growth,hospital_beds,doctors,doctors_growth,nurses_midwives,nurses_midwives_growth,infant_mortality,infant_mortality_growth,life_expectancy,life_expectancy_growth,overweight,overweight_growth,smokers,smokers_growth,alcohol
Bosnia and Herzegovina,93.0,1.0,,,,,,,9.22955617,-0.012674992,,,,,,5.0,-0.019607843,77.128,0.001730306,53.3,0.009469697,38.9,-0.01285347,6.4
Brazil,1021.0,15.0,,,,,,,11.77150303,0.026757632000000003,,2.1499,-0.000139522,9.7083,0.630222327,12.8,-0.03030303,75.456,0.003146918,56.5,0.010733453,13.9,-0.028776977999999998,7.8
Brunei,83.0,0.0,,,,,,,2.3409551,-0.019326468,2.7,1.7701,,6.6012,-1.0,9.8,0.020833333,75.585,0.001752569,41.2,0.01980198,16.9,0.0,0.4
Bulgaria,163.0,3.0,,,,,,,8.23011604,0.003294265,,,,,,5.9,-0.048387097000000004,74.81219512,0.002647751,61.7,0.008169935,37.0,-0.018918919,12.7
Burkina Faso,64.0,2.0,,,,,,,6.75254452,0.159172231,,0.06,,0.5696,1.3733333330000002,49.0,-0.027777778,60.768,0.007259801,23.2,0.026548673,12.5,-0.016,8.2
Cambodia,53.0,0.0,,,,,,,6.08196009,-0.01450623,0.8,,,,,24.0,-0.043824700999999994,69.289,0.004953595999999999,21.7,0.028436019,17.2,-0.029069767000000003,6.7
Cameroon,27.0,0.0,,,,,,,4.690249099999999,-0.0019733660000000003,,,,,,50.6,-0.030651341000000002,58.511,0.008335794,33.6,0.018181818,,,8.9
Central African Republic,3.0,0.0,,,,,,,4.28252151,-0.32120343,,0.0629,,0.2039,-1.0,84.5,-0.023121387,52.24,0.013993436000000001,26.2,0.0234375,,,3.3
Chile,537.0,0.0,64.7,0.09661016949152557,8.82,0.014959723820483495,30.02,0.03803596127247566,8.52893972,0.027588599,,1.08,,0.86,-1.0,6.2,-0.015873016,79.90899999999999,0.001669889,63.1,0.00798722,37.8,-0.023809524,9.3
Colombia,196.0,0.0,,,,,,,5.91234407,-0.01831836,,2.0835,0.039878219,1.2627,0.054210525999999995,12.2,-0.031746032,76.925,0.002626387,59.0,0.008547009,9.0,-0.055555556,5.8
Congo (Brazzaville),3.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Congo (Kinshasa),23.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,117.0,2.0,,,,,,,7.55572353,-0.028880302000000004,1.2,,,,,7.6,0.0,79.914,0.0021743229999999997,61.6,0.013157895,11.9,-0.016806723,4.8
Cote d'Ivoire,14.0,0.0,,,,,,,4.40362075,-0.163240967,,,,,,59.4,-0.026229508,57.016999999999996,0.008953893000000001,31.6,0.022653722,,,8.4
Croatia,206.0,1.0,,,,,,,7.18008037,0.0036162670000000003,5.6,2.9962,,8.1134,-1.0,4.0,0.0,77.82682927,0.009658176,59.6,0.008460236999999999,37.0,0.008108108000000001,8.9
Cuba,21.0,1.0,,,,,,,12.19122021,-0.046414433,,8.19,,7.79,-1.0,3.7,-0.026315789,78.66199999999999,0.0005855319999999999,58.5,0.010362694,35.2,-0.019886364,6.1
Cyprus,84.0,0.0,,,,,,,6.87966475,0.010445705,,1.9511,,5.2517,-1.0,1.9,-0.05,80.672,0.002028625,59.1,0.005102041,36.4,-0.008241758,10.8
Czechia,995.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Djibouti,1.0,0.0,,,,,,,3.50192451,-0.202168147,,,,,,49.8,-0.02734375,65.893,0.014469253,38.6,0.01312336,13.1,-0.015267176,0.5
Dominican Republic,112.0,2.0,,,,,,,6.16130052,0.019426021,,1.56,,0.3099,-1.0,24.1,-0.028225806000000003,73.689,0.003140318,61.2,0.014925373,13.7,-0.01459854,6.9
Ecuador,506.0,7.0,,,,,,,8.38714107,-0.02344027,,2.05,-0.011285811000000001,1.2,-0.517723656,12.2,-0.024,76.584,0.002915567,56.0,0.010830325,7.1,-0.042253520999999995,4.4
Egypt,294.0,10.0,,,,,,,4.63781726,0.00323617,,0.7902,-0.025286789,1.3989,-0.07766666700000001,18.1,-0.032085561,71.656,0.0025244729999999997,63.5,0.011146497,25.2,0.023809524,0.4
Equatorial Guinea,6.0,0.0,,,,,,,3.37653274,0.24678956300000002,,0.4,,0.5,-1.0,62.6,-0.029457364,58.06100000000001,0.006171656,26.7,0.022988506000000002,,,11.3
Estonia,306.0,0.0,4.8,0.7142857142857144,10.31,-0.1003490401396161,29.56,-0.16614950634696768,6.68368438,0.03114412,5.0,3.4651,0.01461115,6.4526,0.015805548,2.1,-0.045454545,77.64146341,0.0006601280000000001,55.8,0.007220216999999999,31.3,-0.015974441000000002,11.6
Eswatini,1.0,0.0,,,,,,,7.69694547,-0.009675263,,0.0796,,2.0,-1.0,43.0,-0.054945055,58.318999999999996,0.028956448,38.4,0.013192612,9.0,0.0,9.9
Ethiopia,9.0,0.0,,,,,,,3.97401588,-0.00048198800000000003,0.3,0.1,,0.84,-1.0,39.1,-0.036945813,65.872,0.0066719959999999995,20.9,0.024509804,4.4,0.0,2.9
Finland,523.0,1.0,48.4,0.01680672268907557,12.03,0.054338299737072715,69.46,0.026755358462675405,9.49305799,-0.025642916,4.4,3.8080000000000003,,14.722999999999999,-1.0,1.4,-0.066666667,81.42926829,-0.000628611,57.9,0.005208333,20.4,-0.024509804,10.7
French Guiana,0.0,0.0,,,,,,,4.24328719,-0.047053797,,0.799,,1.3398,,25.1,-0.030888031,69.624,0.002772083,49.4,0.014373717,,,6.3
Gabon,4.0,1.0,,,,,,,3.11291313,0.17139573,,0.3611,,2.5806,-1.0,32.7,-0.029673591000000003,65.839,0.0077796440000000005,40.2,0.015151515,,,11.5
"Gambia, The",1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Georgia,49.0,0.0,,,,,,,8.43609722,0.06350418099999999,,5.0976,,4.0914,-1.0,8.7,-0.02247191,73.414,0.003206665,54.2,0.013084112,28.8,0.0,9.8
Germany,22213.0,84.0,34.8,-0.014164305949008527,12.01,0.02561912894961571,54.49,-0.031116642958748275,11.13916763,0.005424769,,4.2087,0.017011816000000003,13.1967,0.021092378,3.1,-0.03125,80.9902439,0.004325076,56.8,0.007092199,30.6,-0.009803922,13.4
Ghana,19.0,1.0,,,,,,,4.44871433,-0.269228681,,0.18,0.402961808,1.2,-0.225456658,34.9,-0.033240997,63.463,0.005607595999999999,32.0,0.01910828,3.9,-0.025641026,2.7
Greece,530.0,13.0,,,10.22,-0.048417132216014847,15.53,-0.14198895027624314,8.45429347,0.031726983,4.3,4.592,,3.3728,0.013796626999999999,3.6,-0.027027027000000002,81.38780488,0.004334086,62.3,0.006462036,43.4,-0.00921659,10.4
Greenland,0.0,0.0,,,,,,,,,,,,,,,,71.24634146,,,,,,
Guadeloupe,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Guam,0.0,0.0,,,,,,,,,,,,,,,,79.631,0.0031208940000000004,,,,,
Guatemala,17.0,1.0,,,,,,,5.82031093,0.055187793,,0.355,,0.9470000000000001,,22.1,-0.030701753999999998,73.81,0.0039726959999999995,55.9,0.01084991,,,2.5
Guernsey,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Guinea,2.0,0.0,,,,,,,5.47827339,-0.059866355999999996,,0.0788,,0.3844,-1.0,64.9,-0.021116139,60.706,0.009597638,26.6,0.019157088,,,1.3
Guyana,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Holy See,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Honduras,24.0,0.0,,,,,,,8.40196647,0.08918848800000001,,0.3144,-0.483404535,0.8815,-0.48238402799999996,15.1,-0.032051282,74.898,0.0027652859999999996,55.8,0.014545455,2.0,-0.05,4.0
Hungary,103.0,4.0,26.8,0.1166666666666667,14.41,0.019094766619519143,61.86,0.47637231503579947,7.36479381,0.03427948,,3.2312,0.037003755,6.6425,-0.0057774919999999995,3.6,-0.052631579000000005,76.06341463,0.00655198,61.6,0.008183306,30.6,-0.016339869,11.4
Iceland,473.0,1.0,45.0,-0.04255319148936165,14.56,-0.07848101265822782,73.68,0.12334197286171666,8.29151473,-0.006500471999999999,,3.9701,0.021720668,15.6806,-0.071807728,1.5,-0.0625,82.20487805,-0.003194132,59.1,0.005102041,14.7,-0.047619048,9.1
India,330.0,4.0,,,,,,,3.65833057,0.016851035,,0.7776,0.024236037999999998,2.1071,0.004289595,29.9,-0.050793650999999995,69.165,0.0042269740000000005,19.7,0.031413613,11.5,-0.034782609,5.7
Indonesia,450.0,38.0,,,,,,,3.12449094,0.039639041,1.2,0.3777,,2.0583,-1.0,21.1,-0.03652968,71.282,0.003772892,28.2,0.02919708,39.4,0.010152284000000001,0.8
Iran,20610.0,1556.0,,,,,,,8.10277065,0.04409352,,1.14,,1.87,-1.0,12.4,-0.03125,76.271,0.00331152,61.6,0.011494253000000001,11.0,-0.027272727000000004,1.0
Iraq,214.0,17.0,,,,,,,3.31216318,0.06643878,,0.8217,-0.021785713999999998,1.6799,-0.134072165,22.5,-0.030172413999999998,70.294,0.002759942,64.6,0.007800311999999999,,,0.4
Ireland,785.0,3.0,57.6,0.05688073394495419,24.88,0.018003273322422242,28.93,-0.012964858410098867,7.37830423,-0.009097146,,3.0861,0.04486050900000001,14.2949,0.030433874,3.1,-0.03125,81.95609756,0.0030842020000000003,60.6,0.01,24.3,-0.028806584,13.0
Israel,883.0,1.0,58.2,-0.026755852842809236,6.9,0.020710059171597628,23.95,-0.00992145514675491,7.31441124,-0.008256686,,3.2176,0.008462358,5.2044,0.026205265,3.0,0.0,82.60243902,0.004339942,64.3,0.0046875,25.2,-0.015873016,3.8
Italy,53578.0,4825.0,52.7,0.013461538461538414,13.25,0.07287449392712553,19.99,-0.033832769453842615,8.93549301,-0.005556078000000001,,4.0931,0.015078243,5.8693,0.023820982,2.6,-0.037037037,83.24390244,0.008480336,58.5,0.00862069,23.7,-0.004219409,7.5
Jamaica,16.0,1.0,,,,,,,6.0723917,0.073149967,,1.3199,1.876852659,1.1397,0.111156826,12.4,-0.03125,74.267,0.001039164,55.5,0.012773723,16.8,0.0,4.2
Japan,1007.0,35.0,50.0,-0.019607843137254943,6.94,0.014619883040935644,52.53,0.020991253644314867,10.92612327,0.004989375999999999,,2.4118,,11.5184,-1.0,1.8,-0.052631579000000005,84.0997561,0.002279111,27.2,0.014925373,22.1,-0.022624434,8.0
Jersey,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Jordan,85.0,0.0,,,,,,,5.46821058,-0.12988814099999998,1.4,2.3436,0.662245549,3.3886,-0.26806599,13.9,-0.027972028,74.292,0.0014309239999999999,69.6,0.008695652,,,0.7
Kazakhstan,53.0,0.0,,,,,,,3.52614962,0.14207547,,,,,,8.8,-0.043478261,72.95,0.004166667,53.6,0.011320755,24.0,-0.020833333,7.7
Kenya,7.0,0.0,,,,,,,4.54957525,-0.069642868,,,,,,30.6,-0.037735849,65.90899999999999,0.009182382,25.5,0.024096386,10.7,-0.028037383,3.4
"Korea, South",8799.0,102.0,82.7,-0.020142180094786744,7.58,0.0,99.85,-0.031992244304411166,,,,,,,,,,,,,,,,
"Korea, South",8799.0,102.0,,,,,,,,,,3.6745,-0.00479389,4.4382,-1.0,13.7,-0.048611111,71.91,0.003217638,32.4,0.015673981,,,3.9
"Korea, South",8799.0,102.0,,,,,,,7.33752488,0.040899389,11.5,2.3661,0.023222626,6.9735,0.141046328,2.7,-0.035714286,82.62682927,0.0030627420000000002,30.3,0.013377926000000002,23.3,-0.025751073,10.2
Kosovo,2.0,0.0,,,,,,,,,,,,,,,,71.94634146,0.004204841,,,,,
Kuwait,176.0,0.0,,,,,,,3.9039449999999998,-0.027596127,,2.5789,,6.9694,-1.0,6.7,-0.028985507,75.311,0.001251165,73.4,0.005479451999999999,22.5,0.0,0.0
Kyrgyzstan,14.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Latvia,124.0,0.0,7.7,0.11594202898550732,22.13,0.27550432276657055,26.62,-0.031647871953437545,6.24292955,0.093210754,,3.1946,0.006617090999999999,4.8155,-0.006744771,3.3,-0.083333333,74.68048780000001,0.0013426339999999999,57.8,0.005217391,37.0,0.0,12.9
Lebanon,187.0,4.0,,,,,,,8.01673185,0.024380399,,2.271,0.010006671,2.6448,0.013749078999999999,6.4,-0.03030303,78.833,0.00040625599999999997,67.9,0.0074183980000000005,33.8,-0.00295858,1.5
Liberia,3.0,0.0,,,,,,,9.61511081,-0.056330007,,0.0373,,0.1007,-1.0,53.5,-0.027272727000000004,63.295,0.008559635999999999,30.9,0.016447368,9.8,-0.010204082,5.8
Liechtenstein,37.0,0.0,,,,,,,,,,,,,,,,82.25853659,-0.00480982,,,,,
Lithuania,83.0,1.0,13.4,0.18584070796460184,19.27,0.19615145872129114,20.22,0.06814580031695727,6.67158258,0.03014386,,4.337,0.008768869,7.9155,0.0015309870000000001,3.3,-0.083333333,74.67073171,0.0046928329999999996,59.6,0.0067567569999999995,28.8,-0.013888889,15.0
Luxembourg,670.0,8.0,37.6,-0.010526315789473606,0.0,,18.11,0.24296499656829096,6.16378558,-0.004171544,4.8,3.0266,0.035301361,12.3496,-0.007604624,1.9,-0.05,82.68536585,0.004771784,58.7,0.006861063000000001,23.5,-0.025531915,13.0
Malaysia,1183.0,4.0,,,,,,,3.80219497,-0.024465865,1.9,1.5132,,4.0718,-1.0,6.7,0.0,75.828,0.002491353,42.5,0.021634615,21.5,-0.013953488,0.9
Maldives,13.0,0.0,,,,,,,10.61083995,0.192367537,,1.0379,-0.669258469,3.9504,-0.447210445,7.4,-0.038961038999999996,78.325,0.004144624,30.6,0.033783784,28.3,-0.014134276000000001,2.7
Malta,73.0,0.0,,,,,,,9.29531092,-0.006445721999999999,,3.826,,8.95,-1.0,6.1,0.0,82.45365854,0.00679016,66.4,0.004538578,25.5,-0.019607843,8.1
Martinique,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Mauritania,2.0,0.0,,,,,,,4.2410152000000005,-0.086862938,,0.179,,1.0341,-1.0,51.5,-0.024621212000000003,64.464,0.004254254,34.4,0.020771513000000002,,,0.0
Mauritius,14.0,1.0,,,,,,,5.745666,-0.0076143719999999995,,2.0246,,3.3831,-1.0,13.6,0.054263566,74.51463415,0.000560935,32.3,0.012539185,21.6,-0.009259259,3.6
Mayotte,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Mexico,203.0,2.0,,,13.54,0.07290015847860531,14.6,-0.07301587301587309,5.46900124,-0.03250914,1.5,2.2478,-0.001554657,2.9,0.08671213400000001,11.0,-0.051724137999999996,74.947,0.000173555,64.9,0.007763975,14.0,-0.035714286,6.5
Moldova,80.0,1.0,,,,,,,8.98095464,-0.117514414,,3.2002,,4.5113,-1.0,13.6,-0.014492753999999998,71.717,0.0019446539999999999,51.8,0.009746589,24.2,0.0,15.2
Monaco,11.0,0.0,,,,,,,1.74986203,-0.13762423599999998,,,,,,2.6,-0.037037037,,,,,,,
Mongolia,10.0,0.0,,,,,,,3.8090161,-0.018925792,,2.8866,-0.109788441,3.9846,-1.0,14.0,-0.04109589,69.509,0.00303859,55.6,0.01459854,25.6,-0.0234375,7.4
Montenegro,14.0,0.0,,,,,,,7.64204428,,,2.3337,,5.7179,-1.0,2.3,-0.08,76.667,0.0015172920000000002,59.4,0.008488964,45.9,-0.004357298,8.0
Morocco,96.0,3.0,,,,,,,5.83767147,0.078588344,,0.7273,,1.0979,-1.0,19.2,-0.044776119,76.218,0.003274965,60.4,0.011725293000000001,23.4,0.021367521,0.6
Namibia,3.0,0.0,,,,,,,9.12250271,-0.07524692,,,,,,29.0,-0.023569023999999997,63.021,0.008145656,40.6,0.020100503,21.4,-0.0046728970000000005,9.8
Nepal,1.0,0.0,,,,,,,6.29441655,0.012082561,,0.6507,,2.6854,-1.0,26.7,-0.032608696,70.169,0.004790333,21.0,0.029411765,22.8,-0.021929825,2.0
New Zealand,52.0,0.0,65.0,0.0,9.74,0.06798245614035103,42.84,-0.05617977528089879,9.22193561,-0.009099814,,3.0252,0.00829917,10.955,0.011851481,4.7,-0.020833333,81.65853659,0.0019103339999999999,65.6,0.007680492,16.0,-0.03125,10.7
Nigeria,22.0,0.0,,,,,,,3.64671499,0.020758956000000002,,,,,,75.7,-0.015604681,53.95,0.008077271,28.9,0.021201413,5.8,0.0,13.4
North Macedonia,85.0,0.0,,,,,,,6.34410858,-0.001554426,,2.8736,,3.7917,-1.0,8.7,-0.103092784,75.589,0.001220062,58.1,0.008680555999999999,,,8.1
Norway,2118.0,7.0,34.4,-0.09473684210526323,11.1,0.0018050541516245744,79.8,0.048758049678012894,10.50063009,0.038751763,,4.6336,0.030880128,18.1247,0.006555743,2.1,0.0,82.5097561,0.001244629,58.3,0.006908463,20.2,-0.04950495,7.5
Oman,52.0,0.0,,,,,,,4.29254957,-0.0029792290000000003,,1.9697,-0.024128022000000002,4.3004,-0.029786217,9.8,0.0,77.393,0.003316555,62.6,0.011308562,11.1,0.0,0.8
Pakistan,730.0,3.0,,,,,,,2.75283024,0.024454107000000003,,0.9753,,0.5004,-1.0,57.2,-0.027210883999999998,66.947,0.0028988990000000004,28.4,0.025270757999999997,20.1,-0.009950249,0.3
Panama,200.0,1.0,,,,,,,7.26068297,0.068582477,,1.5699,,1.41,-1.0,13.1,-0.036764706,78.149,0.0024171979999999997,58.8,0.010309278,6.1,-0.06557377,7.9
Paraguay,18.0,1.0,,,,,,,8.02487617,0.026226896,,1.3659999999999999,4.694039183,1.1669,1.917979495,17.2,-0.033707865,73.992,0.002362141,53.5,0.013257576,13.4,-0.052238806,7.2
Peru,318.0,5.0,,,,,,,5.14391365,0.004460532,,1.27,,1.35,-1.0,11.1,-0.034782609,76.286,0.003324889,57.5,0.010544815,4.8,-0.041666667000000004,6.3
Philippines,307.0,19.0,,,,,,,4.38594904,0.014944448,,,,0.24,-1.0,22.5,-0.017467249,70.952,0.002236566,27.6,0.022222222000000003,24.3,-0.016460905,6.6
Poland,536.0,5.0,,,10.95,0.04385128693994278,21.07,0.17447045707915265,6.51647873,0.027286627,,2.3998,0.038335064,5.7221,-0.004038083,3.8,-0.025641026,77.85121951,0.005164541,58.3,0.008650519,28.0,-0.021428571,11.6
Portugal,1280.0,12.0,60.8,0.05739130434782602,16.09,-0.021289537712895434,24.48,0.0,9.07636096,0.011649343000000001,,3.3356,,6.3725,-1.0,3.1,0.0,81.12439024,0.0,57.5,0.00877193,22.7,-0.008810573,12.3
Puerto Rico,0.0,0.0,,,,,,,,,,,,,,,,79.63453659,0.001783007,,,,,
Qatar,481.0,0.0,,,,,,,3.07944355,-0.006493378,,0.0008,-0.9997125509999999,6.6028,-1.0,5.8,-0.049180327999999995,79.98100000000001,0.0013791720000000001,71.7,0.008438819,20.6,0.009708738,2.0
Republic of the Congo,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Reunion,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Romania,367.0,0.0,,,,,,,4.98040299,0.007339727,,2.2586,,6.0979,-1.0,6.1,-0.075757576,75.3097561,0.003966835,57.7,0.010507881,29.7,-0.013468013000000001,12.7
Russia,306.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Rwanda,17.0,0.0,,,,,,,6.76069372,0.0370144,,0.1346,-0.038571429,0.8307,-1.0,27.0,-0.042553191,68.34100000000001,0.007116383,25.1,0.024489796,12.3,-0.016260163,9.0
Saint Lucia,2.0,0.0,,,,,,,5.30656361,-0.015524425,,,,,,14.9,-0.019736842,75.907,0.002063601,48.1,0.016913319,,,9.9
Saint Vincent and the Grenadines,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
San Marino,144.0,20.0,,,,,,,6.39562063,-0.06066234400000001,,,,,,1.7,-0.055555556,,,,,,,
Saudi Arabia,392.0,0.0,,,,,,,5.74181331,-0.042766335,,2.39,,5.7,-1.0,6.0,-0.0625,74.874,0.0014735229999999998,69.7,0.008683068,15.6,0.0,0.2
Senegal,47.0,0.0,,,,,,,5.51241197,-0.013118407,,0.0692,-0.6570862239999999,0.3129,-0.596518375,31.8,-0.030487805,67.38,0.004959024,28.4,0.021582734,8.2,-0.012195122,0.7
Serbia,171.0,1.0,,,,,,,9.13502874,-0.028713244,,3.125,,6.1203,0.29689354100000004,4.8,-0.04,76.08780488,0.005312945,57.1,0.007054674,38.9,-0.01285347,11.1
Seychelles,7.0,0.0,,,,,,,3.93610353,0.17540645100000002,,0.9458,,3.2613,-1.0,12.4,-0.015873016,74.3,0.000196973,36.8,0.016574586000000002,21.5,-0.009302326,12.0
Singapore,432.0,2.0,,,,,,,4.46958366,0.066882672,2.4,2.3063,,7.2141,-1.0,2.3,0.045454545,82.89512195,0.001238025,31.8,0.00952381,16.5,0.0,2.0
Slovakia,178.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Slovenia,383.0,1.0,11.8,0.20408163265306123,17.47,0.10012594458438273,75.4,-0.16463549745180583,8.46829514,-0.0039339579999999996,,2.9953,0.065980996,9.68,0.09887614900000001,1.7,-0.055555556,81.17560976,0.00495199,56.1,0.007181329,22.5,-0.013333333000000001,12.6
Somalia,1.0,0.0,,,,,,,,,,,,,,76.6,-0.027918782000000003,56.708999999999996,0.007224606999999999,28.4,0.021582734,,,0.0
South Africa,240.0,0.0,,,,,,,8.1098146,-0.010731631,,0.9101,0.134222333,3.5171,0.018396142,28.5,-0.037162162,63.538000000000004,0.008044821,53.8,0.011278195,20.3,-0.009852217,9.3
Spain,25374.0,1375.0,53.7,-0.03590664272890487,14.48,0.08140403286034359,21.71,-0.04613356766256593,8.97038932,-0.016418574,,4.0691,0.057101291,5.5307,0.045125569000000004,2.5,-0.038461537999999997,83.32926829,0.00600689,61.6,0.004893964000000001,29.3,-0.013651877,10.0
Sri Lanka,77.0,0.0,,,,,,,3.89324108,0.000853645,,0.958,-0.09434675699999999,2.1155,-0.149376759,6.4,-0.044776119,76.648,0.002175166,23.3,0.030973451000000003,13.0,-0.015384615,4.3
Sudan,2.0,1.0,,,,,,,5.6648529000000005,-0.16753601199999998,,0.41,,0.83,-1.0,42.1,-0.027713626,64.881,0.003631905,,,,,0.5
Suriname,4.0,0.0,,,,,,,6.06415279,-0.09565457599999999,,1.2265,,4.0983,-1.0,16.9,-0.028735632,71.46300000000001,0.001529846,58.9,0.008561644,25.0,-0.048,5.1
Sweden,1763.0,20.0,49.4,0.00406504065040636,11.46,0.1279527559055118,,,10.93479344,-0.006661930999999999,,5.3996,0.259793285,11.5434,-0.025898078999999997,2.2,0.0,82.30731707,0.0012461430000000001,56.4,0.007142857,18.8,-0.037234043,9.2
Switzerland,6575.0,75.0,,,11.19,0.05865657521286649,100.88,0.019917096350217323,12.24760438,0.029746408999999998,,4.2363,0.01390551,17.2828,0.027808173999999998,3.7,0.0,83.60243902,0.008503001,54.3,0.00742115,25.7,-0.015564202,11.5
Taiwan*,153.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Tanzania,6.0,0.0,,,,,,,4.13992059,0.09241381800000001,,,,,,37.6,-0.030927835,64.479,0.011614457,27.7,0.025925926000000002,14.8,-0.027027027000000002,9.4
Thailand,411.0,1.0,,,,,,,3.71143463,0.012131896999999999,,0.8096,0.816468477,2.9647,0.172306135,7.8,-0.048780488,76.683,0.0041003540000000005,32.6,0.03164557,19.9,-0.010050251,8.3
The Bahamas,0.0,0.0,,,,,,,6.37542177,0.064780695,,1.9373,,3.1386,-1.0,8.3,-0.034883721,73.554,0.003297395,64.4,0.007824726,11.5,0.008695652,4.4
The Gambia,0.0,0.0,,,,,,,4.43153755,-0.069295784,,0.1077,,1.6292,-1.0,39.0,-0.025,61.44,0.004202922,31.9,0.022435897000000003,15.5,-0.019354839,3.8
